"name","release","popularity"
"Полицейский с Рублёвки. Новогодний беспредел","2018-12-13",5.986
"Let's Go Luna!: Luna's Christmas Around the World","2018-12-10",2.094
"Death on the Tyne","2018-12-15",3.331
"Leap","2018-10-16",2.86
"Russell Brand: Re:Birth","2018-12-04",2.211
"കായംകുളം കൊച്ചുണ്ണി","2018-10-11",2.232
"Santet","2018-10-04",2.052
"L'Ordre des médecins","2018-12-03",2.011
"A Mother's Worst Fear","2018-10-06",1.947
"Night Out","2018-10-05",1.355
"Chacrinha: O Velho Guerreiro","2018-10-25",2.245
"Darker than Night","2018-10-28",2.741
"ReMastered: Who Killed Jam Master Jay?","2018-10-12",3.66
"Let's Not Meet","2018-10-17",2.757
"7 uczuć","2018-10-12",2.468
"Zakir Khan: Kaksha Gyarvi","2018-11-23",2.177
"Silencio","2018-10-26",2.137
"Entre dos aguas","2018-11-30",1.983
"Elephants","2018-12-07",1.912
"Care","2018-12-09",3.412
"Web of Lies","2018-12-21",2.3
"Shattered Memories","2018-11-15",2.292
"Instakiller","2018-12-08",4.791
"Extracurricular","2018-10-14",2.059
"The Queen and I","2018-12-24",2.793
"Santa's Boots","2018-12-08",1.504
"Viaje al cuarto de una madre","2018-10-05",2.569
"Un bébé pour Noël","2018-12-10",3.137
"Happy Ending","2018-12-25",2.736
"Death Heads: Brain Drain","2018-10-15",2.15
"云南虫谷","2018-12-29",2.47
"Vir Das: Losing It","2018-12-11",3.521
"Winterskin","2018-11-10",2.52
"கனா","2018-12-21",1.645
"Beauty & the Beholder","2018-10-26",1.967
"Small Town Christmas","2018-12-22",3.514
"Slay Belles","2018-12-04",1.424
"Killer Unicorn","2018-10-06",1.919
"Click & Collect","2018-12-24",2.968
"A Majestic Christmas","2018-12-02",2.153
"Stolen Daughters: Kidnapped By Boko Haram","2018-10-22",1.482
"Mare Nostrum","2018-10-04",1.819
"Above and Beyond: NASA's Journey to Tomorrow","2018-10-13",2.107
"Torvill & Dean","2018-12-25",2.027
"Operasi X","2018-11-01",1.562
"Prowler","2018-10-01",3.699
"The Wrong Teacher","2018-12-28",2.542
"Un Beau voyou","2018-10-04",2.123
"The Sinister Surrogate","2018-10-13",1.466
"Legend of Hallowaiian","2018-10-18",2.912
"Postcards from London","2018-11-09",2.629
"Cola de Mono","2018-10-12",2.088
"La prima pietra","2018-12-06",2.33
"Tour of Mythicality","2018-12-22",2.113
"Mannen som lekte med elden","2018-11-29",1.506
"Rondo","2018-12-09",2.222
"We the Coyotes","2018-12-12",2.183
"The Perfect Kiss","2018-11-01",1.543
"Achille Tarallo","2018-10-25",1.417
"El Potro: Lo mejor del amor","2018-10-04",1.796
"My Little Pony: Best Gift Ever","2018-10-27",2.505
